Age,Workclass,Fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,Income
38, Private,363722, Bachelors,7, Married-spouse-absent, Adm-clerical, Not-in-family, Other, Male,-56,-1,30, United-States, <=50K
35, State-gov,135308, Bachelors,13, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,-16,-2,44, United-States, >50K
17, ?,123985, Some-college,10, Divorced, Priv-house-serv, Not-in-family, White, Male,16,3,35, United-States, <=50K
26, Private,385413, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-10,-3,45, United-States, <=50K
23, Private,26457, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,-29,-1,40, United-States, <=50K
53, Self-emp-inc,248516, 10th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-15,-1,40, Mexico, <=50K
54, Private,119228, HS-grad,9, Separated, Handlers-cleaners, Other-relative, White, Male,-18,-1,40, Puerto-Rico, <=50K
42, Private,118844, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Male,29,0,40, United-States, <=50K
37, Local-gov,234712, 9th,13, Widowed, Other-service, Not-in-family, White, Female,-31,1,45, ?, <=50K
32, ?,94573, Bachelors,10, Never-married, Tech-support, Not-in-family, White, Female,-15,0,40, Ecuador, <=50K
26, Federal-gov,180608, Assoc-acdm,5, Married-civ-spouse, Sales, Wife, White, Male,-18,1,72, United-States, <=50K
45, Private,103760, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-11,-1,40, United-States, <=50K
45, Private,312654, Assoc-acdm,9, Never-married, Adm-clerical, Unmarried, Other, Female,-7,0,60, United-States, <=50K
31, Private,182435, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Black, Female,-49,-1,40, Mexico, <=50K
54, Self-emp-inc,181205, Bachelors,16, Married-civ-spouse, Craft-repair, Wife, Black, Female,4404,-1,49, United-States, >50K
47, Private,210722, Bachelors,10, Widowed, Transport-moving, Not-in-family, White, Male,-32,-1,45, United-States, <=50K
18, ?,327065, 10th,13, Never-married, Prof-specialty, Own-child, White, Male,2575,1,21, United-States, <=50K
46, Self-emp-inc,123103, Prof-school,7, Married-civ-spouse, Tech-support, Husband, Black, Male,-20,-1,40, United-States, <=50K
40, Private,204151, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-21,-1,40, United-States, <=50K
