age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,4,2,7,8,4,12,3,4,1,0,0,3,39
1,4,0,9,8,2,10,0,3,1,0,0,4,39
4,7,0,15,6,5,8,1,4,0,0,0,3,39
5,4,1,8,9,2,3,0,4,1,0,4,3,13
5,4,0,11,5,2,5,0,4,1,0,0,5,39
3,4,2,0,3,0,7,1,2,1,0,0,4,21
1,4,1,12,8,4,10,1,4,0,0,0,3,39
1,2,1,5,7,4,10,3,4,0,0,0,1,39
5,6,0,6,2,2,14,0,4,1,0,0,7,39
1,4,1,15,6,2,10,0,4,1,0,0,5,39
2,4,0,1,4,2,3,0,4,1,0,0,3,39
1,4,1,13,8,4,6,4,4,0,0,0,2,39
4,4,2,11,5,2,14,0,4,1,0,0,3,39
5,2,1,10,5,2,1,5,2,0,0,0,2,39
2,4,0,0,3,2,12,3,3,0,0,0,3,39
1,4,1,11,5,2,12,0,4,1,0,0,2,39
1,7,0,9,8,4,4,1,4,1,0,4,4,39
2,4,1,9,3,5,10,4,4,0,0,0,4,39
5,5,1,10,9,2,4,0,1,1,0,0,3,19
3,6,1,11,5,2,12,5,4,0,0,0,3,39
0,4,0,15,6,2,6,0,4,1,0,0,2,39
4,4,1,15,6,4,13,3,4,1,0,0,3,26
3,4,1,11,5,2,3,0,4,1,0,0,3,39
4,0,1,12,6,2,0,0,4,1,0,0,2,39
5,7,2,9,8,2,4,0,4,1,0,0,3,39
2,5,1,7,7,2,3,0,4,1,0,0,3,39
1,4,1,15,6,4,12,1,2,0,0,0,1,39
1,1,2,11,5,4,4,1,4,1,0,0,3,30
2,4,1,12,8,2,4,0,4,1,0,0,3,39
6,4,0,0,2,6,14,1,4,0,0,0,2,39
2,4,1,11,5,0,1,5,4,0,0,0,3,39
1,2,1,12,8,4,10,3,4,0,0,0,1,39
3,5,2,9,5,2,4,0,4,1,0,0,5,26
0,4,0,11,5,4,8,3,4,1,0,0,3,39
0,4,0,15,6,4,1,3,4,0,0,0,0,39
3,4,0,11,5,2,5,0,4,1,0,0,3,36
1,4,0,15,6,4,6,1,4,0,0,0,5,39
0,4,2,15,6,4,8,3,4,0,0,0,1,39
4,6,0,15,6,2,5,0,4,1,0,0,6,39
1,4,2,11,5,4,0,4,4,0,0,0,3,0
3,4,0,15,6,0,12,4,4,0,0,0,3,39
1,4,2,11,5,5,1,1,2,0,0,0,3,39
3,6,1,10,9,2,10,0,4,1,0,4,6,39
3,5,0,9,6,2,12,0,4,1,1,0,6,39
0,4,1,8,6,4,13,3,4,0,0,9,3,2
1,4,0,9,8,2,4,0,4,1,0,4,5,39
8,4,1,11,5,2,4,0,2,1,0,0,0,39
3,4,1,7,7,2,3,1,4,1,0,0,5,17
0,4,1,15,6,4,12,3,2,0,0,0,3,39
3,8,0,8,8,2,11,0,4,1,0,0,4,39
1,4,1,0,3,2,3,0,4,1,0,0,3,30
1,0,1,11,5,4,0,1,2,0,0,0,3,39
4,4,0,11,5,2,10,0,4,1,0,0,3,39
3,5,7,11,5,2,12,0,1,1,0,0,7,0
3,4,1,9,8,2,10,0,4,1,0,2,3,39
4,1,0,11,5,0,4,1,4,0,0,0,3,39
1,4,1,7,8,2,12,0,4,1,0,0,4,39
1,4,1,1,4,2,4,0,4,1,0,0,3,7
4,5,0,6,2,2,11,0,4,1,0,0,3,39
0,4,0,15,6,4,0,1,4,1,0,0,1,39
5,5,0,9,2,2,4,2,4,1,0,4,4,39
1,4,1,15,6,4,4,3,4,1,0,0,3,39
5,4,0,15,6,2,10,0,4,1,0,0,5,39
4,4,0,9,8,2,4,0,4,1,0,0,6,39
0,4,2,15,6,4,12,3,4,0,0,0,1,39
3,6,1,11,8,5,10,1,4,1,0,1,3,39
4,4,1,11,5,2,6,5,4,0,0,0,3,39
0,4,1,9,8,4,10,3,4,0,0,0,6,39
4,4,1,12,8,2,10,5,4,0,0,5,1,39
3,4,0,15,6,4,4,0,4,1,0,0,7,3
5,4,1,0,1,2,3,0,4,1,0,0,4,5
4,4,1,9,6,2,0,4,3,0,0,0,1,39
3,4,0,1,2,2,6,0,4,1,0,0,3,39
6,4,0,12,8,4,1,1,4,0,0,0,8,39
2,4,1,9,8,4,12,1,4,1,0,0,3,39
0,5,1,9,8,4,4,1,4,0,0,0,3,39
0,4,1,15,6,4,12,3,4,1,0,0,1,39
2,7,0,9,6,4,10,1,4,0,0,0,3,39
3,4,2,12,8,2,4,0,4,1,0,0,5,39
1,2,0,15,6,4,8,5,4,1,0,0,2,39
4,5,0,11,5,2,1,5,4,0,0,5,3,39
2,2,1,12,8,4,1,4,4,1,0,3,5,39
0,4,1,15,5,4,1,3,4,1,0,0,1,39
1,4,1,15,6,0,1,4,4,0,0,0,3,39
