age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
1,3,0,14,2,2,14,0,3,1,0,0,3,40
1,3,0,11,7,2,6,0,4,1,0,0,3,9
5,2,0,11,7,1,13,0,3,1,0,0,7,40
1,2,3,11,7,4,9,3,3,1,0,0,3,40
2,2,0,10,7,4,11,3,3,1,0,0,3,40
4,3,0,15,5,1,14,0,3,1,0,0,3,40
3,2,0,15,7,2,14,0,4,1,0,0,3,40
1,6,2,12,7,2,14,1,3,1,0,2,3,40
1,5,3,13,7,2,3,2,4,1,0,0,3,39
6,3,3,2,7,1,10,2,3,1,0,0,3,40
2,3,1,7,7,2,5,0,4,1,0,0,3,40
1,3,0,11,7,2,14,5,4,1,0,0,3,40
1,3,2,11,5,2,14,0,3,1,0,1,6,40
1,6,0,15,7,2,13,0,4,1,0,1,3,40
4,6,0,15,7,2,14,0,3,1,0,0,3,40
5,7,1,15,7,1,1,2,4,1,0,0,3,40
1,2,1,10,5,2,13,2,3,1,0,0,3,4
3,3,0,13,7,2,14,3,4,1,0,1,3,40
1,3,0,9,7,2,1,2,3,1,0,0,4,40
1,2,0,14,7,2,14,0,3,1,0,0,3,41
1,2,0,15,6,4,14,5,4,1,0,0,3,40
1,3,0,14,7,3,14,5,3,1,0,0,3,40
1,3,1,10,7,6,11,3,3,1,0,2,3,40
5,2,1,2,7,1,10,0,4,1,0,4,3,40
2,2,0,11,7,2,10,0,3,1,0,0,3,41
3,2,0,13,7,2,13,5,3,1,0,0,3,40
1,2,0,15,6,3,3,0,3,1,0,0,3,40
4,2,0,12,7,1,8,0,4,1,0,0,3,40
3,3,3,15,7,1,5,0,4,1,0,0,3,40
6,3,0,11,7,1,1,2,4,1,0,0,3,41
1,6,2,11,6,2,4,5,3,1,0,0,3,40
3,7,4,14,7,2,14,0,4,1,0,0,3,3
4,3,0,11,7,2,2,3,3,1,0,0,3,40
1,3,0,15,5,2,1,0,4,1,0,0,3,40
1,3,0,12,5,2,14,5,4,1,0,0,3,41
1,2,2,13,7,2,14,2,3,1,0,0,3,40
1,6,0,0,7,3,7,1,4,1,0,0,2,40
4,7,0,12,7,1,1,0,3,1,0,1,4,40
1,3,1,11,7,2,14,4,3,1,0,3,5,40
1,4,0,15,7,6,8,2,4,1,0,0,3,40
6,7,1,11,7,1,2,4,4,1,0,0,3,40
5,3,0,13,7,1,14,1,4,1,0,0,3,40
1,8,0,15,7,6,1,3,3,1,0,0,4,40
3,3,3,5,7,1,10,0,3,1,0,0,3,41
1,2,2,7,7,2,12,5,3,1,0,0,3,10
4,2,0,13,5,1,12,0,3,1,0,0,3,40
2,3,0,15,7,2,14,0,3,1,0,0,3,40
1,3,0,13,7,4,2,3,3,1,0,0,3,39
4,3,0,14,6,1,14,5,4,1,0,0,3,40
5,3,0,15,7,1,14,0,3,1,0,0,3,40
5,3,1,15,7,1,1,3,3,1,0,0,3,40
1,5,0,11,7,2,2,0,4,1,0,0,3,40
4,7,3,15,7,1,11,4,3,1,0,0,3,40
4,2,0,13,7,1,12,0,3,1,0,0,3,40
1,2,0,15,7,2,3,0,4,1,0,2,3,40
3,3,3,10,6,2,14,1,3,1,0,0,5,40
4,2,0,11,7,2,2,0,4,1,0,0,3,3
2,3,0,12,7,1,14,3,4,1,0,0,3,40
3,3,0,8,7,2,10,0,4,1,0,0,3,40
6,3,2,1,7,1,11,0,4,1,0,0,3,40
4,3,0,11,6,1,11,2,3,1,0,0,3,40
1,2,0,13,7,3,10,4,4,1,0,0,3,40
3,3,0,12,7,1,11,3,3,1,0,0,3,40
1,3,0,15,6,3,9,0,3,1,0,0,3,41
1,3,2,14,7,2,1,0,4,1,0,0,3,40
1,7,0,14,7,5,2,3,4,1,0,0,3,40
2,3,2,0,7,2,8,0,3,1,0,0,2,40
1,2,2,12,7,2,10,3,4,1,0,0,3,40
3,3,2,13,7,1,14,1,4,1,0,0,3,40
1,3,4,0,7,3,11,5,4,1,0,0,2,40
1,6,0,13,7,5,14,2,4,1,0,0,7,40
6,2,0,12,7,1,2,4,4,1,0,0,3,40
2,2,0,13,6,2,2,0,3,1,0,0,4,40
3,6,3,15,7,3,1,3,3,1,0,0,4,40
4,3,2,12,7,1,13,2,3,1,0,0,3,40
4,4,0,14,7,1,5,3,3,1,0,0,4,40
4,3,0,13,5,1,4,0,4,1,0,0,4,40
2,2,0,11,7,2,8,0,4,1,0,0,3,40
3,3,3,14,7,1,11,0,3,1,0,0,3,40
1,3,3,11,7,2,7,5,3,1,0,0,3,40
1,3,2,12,7,2,1,4,4,1,0,0,4,40
1,6,1,15,7,3,6,3,4,1,0,0,5,40
3,4,0,0,6,2,8,0,3,1,0,0,3,40
2,2,0,15,6,6,11,2,4,1,0,0,3,40
8,6,0,12,7,1,11,0,3,1,0,0,3,40
1,2,0,9,6,2,12,4,3,1,0,0,3,41
1,6,0,12,7,3,14,3,3,1,0,0,3,40
5,7,1,11,7,1,14,0,3,1,0,1,3,40
6,6,0,0,7,1,11,4,3,1,0,0,2,40
1,3,1,4,7,2,2,5,3,1,0,0,3,40
5,3,0,12,7,1,14,3,3,1,0,0,3,40
3,6,0,7,7,1,5,0,4,1,0,0,3,40
4,2,0,14,7,1,8,0,3,1,0,0,4,30
1,3,0,11,7,2,2,0,3,1,0,0,3,37
1,2,1,0,7,2,11,5,3,1,0,0,2,40
1,3,0,12,7,2,14,5,4,1,0,0,3,40
3,2,2,11,7,1,12,5,4,1,0,0,3,40
1,6,0,10,7,2,2,0,4,1,0,0,4,40
1,2,0,15,7,2,3,1,3,1,0,0,3,40
2,5,0,4,7,2,1,0,3,1,0,0,3,41
1,3,0,5,6,6,2,3,4,1,0,1,4,40
5,7,0,0,6,1,10,3,3,1,0,0,4,40
3,3,0,15,7,1,10,5,4,1,0,0,3,40
1,6,0,14,6,2,14,0,4,1,0,0,3,40
4,2,0,15,7,1,14,4,3,1,0,0,4,40
9,6,0,13,7,1,14,0,3,1,0,0,3,40
1,3,0,10,7,2,6,0,3,1,0,0,3,41
3,2,3,12,7,2,14,2,3,1,0,0,3,40
1,3,0,10,6,5,11,1,3,1,0,0,4,40
5,6,0,8,7,1,12,3,3,1,0,1,4,41
2,2,1,14,7,3,6,1,3,1,0,0,3,40
1,6,3,14,7,2,4,0,3,1,0,0,3,40
2,2,3,13,4,2,8,2,3,1,0,0,4,37
4,3,0,13,7,2,14,3,3,1,0,0,3,40
2,6,0,15,7,2,13,0,4,1,0,0,3,40
4,3,1,13,5,1,14,3,4,1,0,0,3,40
1,3,0,11,7,5,2,5,3,1,0,0,3,40
4,3,0,7,7,1,14,0,3,1,0,4,3,40
2,3,0,12,7,2,4,4,3,1,0,0,3,40
3,4,0,14,7,2,1,1,3,1,0,0,3,40
3,3,0,14,7,1,10,0,3,1,0,0,3,40
1,5,1,11,7,2,9,4,3,1,0,0,3,40
4,5,2,15,7,1,11,0,3,1,0,0,3,36
2,2,0,14,7,2,12,0,3,1,0,0,5,40
5,6,1,12,6,1,8,4,4,1,0,0,3,40
1,3,0,0,7,3,11,5,3,1,0,0,2,41
3,7,0,9,7,1,14,0,3,1,0,0,5,40
1,4,2,1,7,2,2,5,4,1,0,0,4,40
6,4,0,15,7,1,14,0,4,1,0,0,3,40
1,2,0,15,7,2,14,5,4,1,0,0,4,41
5,6,0,12,7,1,12,4,3,1,0,0,4,40
