age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
23.0,6.0,-1.0,11.0,15.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,24.0,39.0
15.0,4.0,-1.0,9.0,4.0,2.0,12.0,0.0,2.0,1.0,0.0,0.0,34.0,39.0
3.0,4.0,-1.0,15.0,1.0,4.0,8.0,3.0,1.0,0.0,0.0,0.0,20.0,39.0
53.0,5.0,-1.0,15.0,1.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,69.0,39.0
9.0,6.0,-1.0,11.0,15.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,34.0,11.0
37.0,6.0,-1.0,3.0,8.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,34.0,39.0
5.0,4.0,-1.0,9.0,4.0,2.0,13.0,0.0,4.0,1.0,0.0,0.0,34.0,27.0
43.0,4.0,-1.0,15.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
34.0,2.0,-1.0,9.0,4.0,0.0,10.0,4.0,4.0,1.0,0.0,0.0,55.0,39.0
11.0,4.0,-1.0,9.0,4.0,3.0,8.0,1.0,4.0,1.0,0.0,0.0,24.0,39.0
7.0,4.0,-1.0,15.0,1.0,4.0,7.0,1.0,2.0,1.0,0.0,0.0,34.0,39.0
44.0,6.0,-1.0,5.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,34.0,25.0
22.0,4.0,-1.0,8.0,15.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
6.0,4.0,6574.0,11.0,15.0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,34.0,39.0
7.0,4.0,-1.0,15.0,1.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,66.0,0.0
36.0,4.0,-1.0,12.0,5.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,27.0,39.0
8.0,4.0,-1.0,7.0,10.0,5.0,12.0,1.0,4.0,1.0,0.0,0.0,23.0,39.0
55.0,8.0,-1.0,8.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,34.0,39.0
36.0,6.0,-1.0,9.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,45.0,33.0
43.0,4.0,-1.0,15.0,1.0,2.0,8.0,5.0,1.0,1.0,0.0,0.0,34.0,39.0
8.0,4.0,-1.0,9.0,4.0,4.0,12.0,1.0,1.0,1.0,0.0,0.0,39.0,39.0
16.0,2.0,-1.0,7.0,3.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
48.0,8.0,-1.0,15.0,1.0,0.0,8.0,1.0,4.0,1.0,0.0,0.0,29.0,39.0
35.0,4.0,-1.0,11.0,15.0,6.0,8.0,4.0,4.0,0.0,0.0,0.0,21.0,39.0
28.0,4.0,-1.0,15.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,34.0,39.0
32.0,4.0,-1.0,11.0,15.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
45.0,4.0,-1.0,11.0,15.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,34.0,39.0
9.0,4.0,-1.0,1.0,13.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
4.0,4.0,-1.0,15.0,1.0,4.0,10.0,3.0,4.0,0.0,0.0,0.0,25.0,39.0
28.0,4.0,-1.0,0.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
19.0,4.0,-1.0,9.0,4.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0
42.0,6.0,-1.0,15.0,1.0,3.0,12.0,1.0,4.0,1.0,0.0,0.0,45.0,39.0
5.0,4.0,-1.0,15.0,1.0,4.0,12.0,1.0,4.0,0.0,0.0,0.0,34.0,39.0
21.0,4.0,-1.0,11.0,15.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,34.0,39.0
8.0,0.0,-1.0,6.0,13.0,4.0,0.0,3.0,4.0,0.0,-1.0,0.0,34.0,39.0
19.0,4.0,-1.0,9.0,4.0,4.0,10.0,4.0,3.0,1.0,0.0,0.0,34.0,17.0
28.0,6.0,-1.0,11.0,15.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,25.0,39.0
