age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
19.391027,-1.14815455e-08,177374.23,-6.580869e-10,8.952063,7.07509e-10,-1.7467759e-10,2.0789779e-09,5.2723617e-09,-3.263994e-09,-667.1988,-16.237656,53.21527,1.6313667e-08
65.89044,5.9247363e-09,95013.25,-3.8579637e-09,7.874522,-1.5555004e-09,-2.7720421e-11,1.9913913e-09,-1.5043301e-09,2.4682083e-09,280.55383,135.21426,43.92523,-1.6611382e-08
57414984000.0,-598.8532,-6543123700000.0,-2.3304443e-05,3582.8613,2.566116,-2.53523e-08,2.0494579e-07,6.926818e-08,1.6592404e-08,18672.86,532.211,62.023247,-1.6883675e-08
109.15474,5.4142635e-08,173868.47,-1.7053988e-08,14.477964,-3.7892146e-08,2.4623656e-10,-1.3060532e-08,-4.0849235e-09,1.5815291e-09,1630.2246,470.54517,20.769375,2.8676674e-09
34.84589,4.831526e-09,-51310.375,-2.8854934e-09,12.223261,-2.6465413e-10,-7.1670125e-10,-8.3603385e-10,1.4868947e-09,5.5158117e-10,-35.921967,-0.15217972,22.199032,1.834594e-09
27.097908,-4.5420947e-09,130470.65,-2.7803929e-10,11.137226,-6.0098135e-11,-9.747998e-11,1.2330602e-09,1.922087e-09,-1.9613224e-10,-323.04474,-10.358513,43.33162,9.077475e-09
53.4096,6.414011e-08,118262.28,-7.744038e-09,9.184383,2.4147536e-08,5.450327e-09,-1.3367922e-08,-4.5504507e-09,-1.8968358e-09,4372.5923,870.8015,45.113987,4.9630824e-09
146.03223,-2.8399267e-08,415449.62,-9.701888e-08,4.493302,-7.005314e-08,-1.7032565e-09,-1.5682735e-08,1.9527868e-09,2.8674383e-09,7386.0146,295.35428,54.881584,-1.3363507e-08
57.24847,-7.694698e-09,228903.38,5.6435445e-10,9.105164,4.2623502e-10,3.7414402e-10,5.4482874e-10,6.051871e-09,-5.4733333e-09,-551.93823,-11.1109085,39.226494,1.9942572e-08
84.00641,-7.1082407e-09,314206.56,6.0640093e-10,13.380636,-1.7723095e-09,-1.5757971e-10,-1.3419335e-09,1.653232e-09,-2.1018842e-09,-633.1203,-7.122654,54.423153,1.9310326e-08
94.670715,-2.9107309e-08,308223.84,-5.0657807e-09,15.375528,8.2655e-10,1.4231431e-10,5.4645892e-09,8.5815985e-09,-1.3066127e-09,-461.9182,206.67363,67.49967,2.1334928e-08
