"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","class"
38," Private",396595," Some-college",10," Divorced"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
41," Private",126850," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,50," United-States"," >50K"
33," Private",171215," Some-college",10," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
45," State-gov",90803," Assoc-acdm",12," Divorced"," Prof-specialty"," Unmarried"," Asian-Pac-Islander"," Female",0,0,44," United-States"," <=50K"
49," Self-emp-inc",289707," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
48," Private",345831," 11th",7," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
32," Private",93930," Assoc-voc",11," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
32," ?",199244," 10th",6," Divorced"," ?"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
20," Private",186830," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",93235," 10th",6," Never-married"," Handlers-cleaners"," Own-child"," Other"," Male",0,1719,16," United-States"," <=50K"
32," Self-emp-not-inc",350624," 10th",6," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,48," United-States"," <=50K"
48," Private",128460," Some-college",10," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,38," United-States"," >50K"
29," Federal-gov",244473," HS-grad",9," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1902,45," United-States"," >50K"
45," Private",55720," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
54," State-gov",161334," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
46," Private",78529," HS-grad",9," Divorced"," Other-service"," Not-in-family"," Black"," Female",4787,0,30," Trinadad&Tobago"," <=50K"
48," Private",162096," 10th",6," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
25," Private",182227," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
45," Federal-gov",235891," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
47," Private",184579," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7298,0,40," United-States"," >50K"
56," Private",105281," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
38," Private",66326," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
43," State-gov",198965," Some-college",10," Separated"," Prof-specialty"," Unmarried"," Black"," Female",0,0,40," Jamaica"," <=50K"
21," Private",460835," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
41," Self-emp-not-inc",89942," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,5," United-States"," <=50K"
25," Private",110978," 12th",8," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,48," United-States"," <=50K"
37," Private",223433," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,70," United-States"," >50K"
56," Self-emp-not-inc",162130," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,15," United-States"," <=50K"
35," Private",187053," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
62," Local-gov",114045," HS-grad",9," Never-married"," Protective-serv"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,2231,50," United-States"," >50K"
30," Private",169583," HS-grad",9," Never-married"," Sales"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
29," Self-emp-inc",168221," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
62," ?",144583," Some-college",10," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
30," Private",425528," 11th",7," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
52," Self-emp-not-inc",185407," 7th-8th",4," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,50," Italy"," >50K"
