age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
21.0,4.0,-1.0,15.0,1.0,0.0,6.0,3.0,4.0,1.0,0.0,0.0,34.0,38.0
24.0,4.0,-1.0,9.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,45.0,38.0
16.0,4.0,-1.0,15.0,1.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,34.0,38.0
28.0,7.0,-1.0,7.0,3.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,38.0,38.0
32.0,5.0,-1.0,11.0,15.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
31.0,4.0,-1.0,1.0,13.0,0.0,7.0,1.0,4.0,1.0,0.0,0.0,34.0,38.0
15.0,4.0,-1.0,8.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,34.0,38.0
15.0,0.0,-1.0,0.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,23.0,38.0
3.0,4.0,-1.0,11.0,15.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
0.0,4.0,-1.0,0.0,12.0,4.0,6.0,3.0,3.0,1.0,0.0,20.0,7.0,38.0
15.0,6.0,-1.0,0.0,12.0,4.0,3.0,2.0,4.0,1.0,0.0,0.0,42.0,38.0
31.0,4.0,-1.0,15.0,1.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,31.0,38.0
12.0,1.0,-1.0,11.0,15.0,2.0,13.0,0.0,4.0,1.0,0.0,29.0,39.0,38.0
28.0,4.0,-1.0,11.0,15.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
37.0,7.0,1328.0,15.0,1.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
29.0,4.0,5514.0,11.0,15.0,0.0,8.0,1.0,2.0,0.0,70.0,0.0,23.0,37.0
31.0,4.0,-1.0,0.0,12.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
8.0,4.0,1919.0,15.0,1.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,34.0,38.0
28.0,1.0,-1.0,7.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
30.0,4.0,-1.0,15.0,1.0,2.0,3.0,0.0,4.0,1.0,86.0,0.0,34.0,38.0
39.0,4.0,-1.0,11.0,15.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,34.0,38.0
21.0,4.0,-1.0,15.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,34.0,38.0
