fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
4.9944963,7.006408,1.9969456,3.9539561,3.9912117,2.9464016,5.980207,2.9408307,3.8750796,2.187772
5.004761,10.146685,2.04039,3.2476568,3.255492,2.994916,8.000795,3.12837,2.1417227,1.3225896
10.563673,8.470928,2.0002487,2.005602,1.1334424,-0.5277002,0.3596263,3.956853,3.9293265,1.756425
5.0687346,7.4634247,1.9984355,2.408253,2.4482508,3.1509972,7.930811,5.331271,5.484985,0.9952396
5.0032105,6.545098,1.9905481,3.066584,2.9902241,3.000334,5.2956104,3.4335687,2.2786806,0.90919006
4.9732094,5.649487,0.38156605,4.0297174,4.0053725,2.9592717,5.952411,5.9539275,4.378704,5.2357864
4.8986073,3.1062727,2.0082064,6.949391,3.7797582,2.981426,5.702037,4.314161,5.009204,1.9969192
5.0054693,6.4891076,1.9993874,3.9840233,4.005848,2.9850066,6.116986,3.511354,3.3333454,1.382835
4.999859,6.601967,1.9979892,3.0162961,2.998492,2.9989917,7.232416,3.4977465,3.4877777,-0.22935307
4.947137,4.0632067,-0.49294102,4.2067785,3.989688,2.9987688,5.9845705,4.543532,-0.6209631,0.27975023
5.002546,8.928589,1.9991181,2.1095572,2.0966175,3.0244884,7.4666734,5.809906,1.3657478,1.3044456
5.0250907,7.268425,1.9948041,3.9740286,3.9806013,1.9651047,1.7681441,2.6575012,5.966379,0.60690904
5.0074105,7.7888565,1.9996539,3.0535166,3.0434928,3.002041,6.1982493,3.3516254,1.7671081,3.1984773
4.982153,9.1972275,0.6333035,4.0196857,3.996473,2.98487,4.780068,6.647208,9.077023,4.6329126
5.0070405,6.1017685,1.9984027,2.9115214,3.0413592,3.000529,4.1300964,2.7359204,-0.8174262,1.8981926
4.9915624,6.5208426,1.9163032,3.3963258,2.962359,2.9999082,5.795428,6.354368,6.512495,-1.6678492
4.780672,5.049244,-0.7948841,4.252258,3.9954224,2.9990923,5.6347404,3.560719,4.3639216,0.40949333
5.001602,8.345445,1.9976428,2.7849035,2.889899,2.9954913,6.1039495,3.6568542,2.0264332,-0.1796279
7.601495,11.079039,2.001756,1.8345667,1.7534723,1.2999016,-0.65586233,1.6322429,4.441946,3.8657398
5.022314,9.988949,2.031865,3.032976,3.3988445,2.9917083,3.5393643,6.3952575,4.853384,1.1324515
5.0286736,6.0320683,1.9978156,2.9546065,2.9883351,3.0348692,5.9227695,5.8443704,-2.2179875,2.8439639
4.98878,5.5383043,0.14208579,3.9595606,4.004948,2.9995573,4.887942,6.4486074,3.620627,0.3024785
8.922954,9.269738,2.0018673,3.1202087,2.9912868,-0.88622355,0.5535321,1.7443984,3.9702523,1.9619927
5.2680616,3.78904,2.004418,3.2540507,4.045695,2.937807,6.2964396,5.9208517,-3.7202158,1.3013918
5.0535603,11.066887,2.0006874,1.8293622,1.7868234,2.8859394,1.1134923,-0.2620306,7.4003735,2.1106648
5.001407,6.656228,1.9932016,4.49098,3.163805,3.0012197,5.6918707,5.3164277,6.7580333,1.0183259
4.997303,6.8437715,1.9884231,3.027371,2.9759076,3.000308,5.8212123,6.2728715,0.7665762,0.84202933
4.0718584,1.2320886,-0.25402474,5.3685007,4.010821,2.997668,5.009322,4.050697,6.1843805,0.25694352
4.997983,7.4124537,1.9870087,2.2508101,2.18787,2.999182,5.6560307,6.580942,5.697949,1.2166017
5.034393,6.5536456,2.0000293,3.0873635,3.1054647,3.0163584,4.1775703,5.5474105,-2.1279554,0.31557477
4.938505,8.365509,1.999804,4.711527,3.6572993,2.9798334,5.0243526,6.143309,3.279291,3.9352243
4.992325,7.4659953,1.9988723,2.9518368,2.9452431,2.9011133,6.941252,4.966605,4.6750627,0.96682495
