fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
5.0,7.0,2.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0
