time,a1,a2,a3,a4,a5,a6,a7,a8
1.0,4.0,3.0,7.0,7.0,3.0,5.0,1.0,0.0
0.0,5.0,1.0,7.0,6.0,6.0,6.0,1.0,0.0
0.0,4.0,1.901095059130399,7.0,3.0,1.0,7.233218926861598,5.044599338220397,3.0
1.0,3.775237805408846,2.0,7.0,6.0,6.0,6.0,1.4443073185551711,0.0
3.988645979869245,3.792031811394056,2.0,5.938660880682548,1.202897429473755,1.0,3.0,7.0,6.0
1.0,1.6426067465218759,4.0,7.0,7.0,5.0,6.0,2.0,0.0
0.0,4.0,4.0,7.0,6.0,1.0,9.0,2.0,0.0
4.5304901875385575,3.0,6.0,7.0,7.0,3.0,7.0,3.4095967737124897,1.0
0.0,4.0,3.0,9.0,4.0,5.354084989802775,9.0,3.0,1.0
1.0,3.0,4.0,7.0,6.0,1.0,7.0,2.0,0.0
0.0,4.0,2.0,7.0,4.113424628111467,1.1328108186683281,8.0,3.0,1.0
5.0,4.0,2.0,7.201776473205511,3.0,3.46505668682617,2.0,5.0,5.0
5.0,5.0,6.0,5.828605234469925,7.0,2.9284562691724196,7.0,3.0,1.0
0.0,4.0,1.0,7.0,4.0,3.0,7.0,4.0,2.0
2.3702033667658777,5.0,4.0,7.0653321757269785,7.0,3.0,5.0,1.0,0.0
0.0,4.0,1.0,7.0,4.0,8.11842514023769,6.0,2.0,1.0
4.0,4.0,2.0,9.647202528544753,2.636383929660708,6.098525834482195,2.0,5.0,4.6519499156824065
1.0,4.0,1.0,7.0,6.0,3.0,5.0,1.0,0.0
4.0,4.0,6.0,5.0,7.0,3.5552437678622724,6.0,2.0,1.0
0.0,4.0,1.0,7.0,5.0,1.0,6.0,2.0,0.0
4.0,4.0,6.0,7.805194755413016,5.075713150197586,8.0,6.9358652744321745,4.137649003259466,2.319227211135217
1.0,4.0,1.0,6.7448165559299245,7.0,8.0,5.0,0.0,0.0
6.0,5.0,9.0,7.0,8.0,5.0,9.0,2.0,0.0
4.0,4.0,1.0,9.0,7.0,5.0,2.0,0.0,1.0
0.0,4.057705154170558,1.0,5.964976031944929,4.0,6.0,7.0,4.0,2.0
1.0,3.0,5.0,7.0,6.0,5.0,9.0,2.0,0.0
0.0,4.0,2.0,7.0,6.0,1.0,6.0,2.0,0.0
-0.041339371598824615,5.0,1.0,7.0,6.0,2.740497885395704,4.923201774795152,1.0,-0.040156085140415534
1.0930403627771357,5.0,3.2691616602396594,5.0,6.37091868020979,7.594236679961171,7.893828715679888,2.0,0.0
1.0,3.0,2.0,7.0,6.0,3.0,5.800923207597151,1.0,0.0
0.0,4.0,1.0,6.736010437728423,3.2220254714463614,6.0,7.0,4.899406164988607,3.0
1.0,4.0,4.683335139366133,9.0,7.0,3.7128083381730748,6.0,1.0,0.0
6.0,5.0,9.0,6.565277713592654,8.0,7.908213853456902,9.0,2.0,0.0
1.0,4.0,3.0,7.0,7.0,1.0,5.0,1.0,0.0
5.0,5.0,6.0,5.766442854684806,7.0,4.71343325396746,7.0,2.0,0.0
0.0,4.0,1.0,7.0,4.0,3.0,7.0,3.0,1.0
0.0,5.0,1.0,7.0,6.0,4.5151609855664105,6.8053090409666614,1.0,0.0
8.0,4.0,3.0,5.0,1.0,5.0,0.0,8.0,8.0
4.0,4.0,6.0,7.562682749757606,7.410650281226703,1.0,6.0,2.0008181791429656,0.89472724744206
1.0,3.0,8.0,7.0,7.0,5.0,9.0,3.0,0.0
1.0,5.0,1.0,7.0,6.0,5.0,5.0,1.0,0.0
0.0,4.0,6.0,9.0,5.0,5.0,9.0,4.0,0.0
0.0,4.0,1.0,7.0,3.0,2.16195371443823,7.0,5.0,3.0
0.0,4.0,1.0,9.0,6.0,5.0,6.0,1.0,0.0
1.0,5.0,1.0,7.0,7.0,6.0,5.0,0.0,0.0
