time,a1,a2,a3,a4,a5,a6,a7,a8
1.5307181,7.930089,10.145623,3.4236293,12.809564,2.9491215,14.259284,12.8334255,2.1871662
0.05631578,5.9408336,5.6757193,2.9453163,12.313982,0.8743298,13.828153,11.044856,1.3022687
6.118046,5.597453,17.849403,4.0011463,12.85701,2.8982017,11.63517,18.767122,5.9240875
1.9943197,5.9327445,13.620909,2.640634,16.204401,4.8990955,10.415861,8.596909,1.5861866
0.16069758,6.0934668,2.6552477,1.9247961,12.419221,5.1283817,11.85135,8.408573,0.85407615
10.088272,7.1030374,9.720318,3.5791256,-0.6356411,3.0804176,2.828365e-09,55.04037,30.383003
-0.007965088,6.001665,13.01634,2.7469645,7.5817857,3.2786798,17.09898,33.78762,11.584553
1.8342185,10.999998,5.079277,2.9999986,8.3886595,3.5171957,9.903854,24.958637,17.002882
1.298005,5.001051,11.817227,2.8822148,13.187376,2.1757755,17.093632,14.075722,1.3819025
2.3521976,4.1985073,5.555056,2.6730583,16.800034,2.523547,8.1683655,0.08750725,1.2567309
0.8275869,7.380987,4.620024,3.2419024,12.614423,3.4946532,11.906358,9.62274,1.4103982
5.33134,5.817166,20.050112,2.5229464,14.808987,2.808904,14.041519,18.120571,4.3171186
1.9431894,8.529232,9.865025,3.8140736,13.554664,3.2866495,12.765911,11.744436,1.7721548
5.2377934,5.942394,5.046832,3.89323,6.3743224,2.575292,3.3467417,27.840351,19.331062
1.2698321,5.4913173,7.6061206,2.7564678,13.342083,3.7550383,12.979801,10.734238,0.8192924
1.0223601,6.184539,4.985164,2.537177,13.235854,4.4699287,11.638498,9.609069,1.6482658
1.228393,4.5730324,10.685812,3.7685559,13.809617,3.0960739,14.826393,12.364452,1.3109194
1.2647247,6.027379,7.6281095,1.013653,13.506741,3.294862,12.893426,11.296849,1.1558517
5.371865,5.624337,17.709179,3.686401,5.6562033,2.1862328,11.595652,40.637695,20.600393
2.0322044,7.533643,15.760502,3.5679228,15.420161,3.5939837,15.265533,10.830473,0.6761656
1.905268,4.6964865,16.787035,3.5820994,14.927883,5.2197847,18.250765,13.864757,1.0224272
4.8379154,9.805579,8.741758,3.6078591,16.791105,3.1677792,7.6403017,1.8840151,1.0717576
10.05012,5.5941577,11.991723,2.9501119,5.561446,3.9243898,2.1689817e-09,42.803482,26.68343
6.7564907,7.3974614,6.149124,3.0174153,5.512831,1.6548038,4.77072,33.027187,20.557564
0.7707821,7.221852,8.251159,3.172091,12.516754,1.7070888,15.543848,12.73732,1.5765239
5.399333,7.6930337,9.86806,3.0306046,16.774837,2.346066,7.667741,0.9581156,1.6926187
1.9095805,7.495363,21.294819,3.3313713,14.465328,4.793989,16.633312,18.588144,1.0837765
1.0747839,6.306671,4.796948,3.1063097,13.04029,2.5063422,10.590607,9.055969,1.8508795
1.1333923,7.0943003,5.529723,3.2067585,12.886866,3.9449396,12.290994,9.660342,0.93799865
1.8757167,4.972501,6.468396,3.2899976,13.756824,4.0810776,10.866569,9.838085,0.96538234
2.0346217,9.455162,10.729708,3.4577198,14.636091,3.1027493,12.496012,10.74489,1.5671185
10.352673,7.1559553,15.22809,1.9470286,12.410176,-0.67201114,2.9045968e-09,24.045162,20.610216
2.0202098,7.8804145,11.051405,2.9466817,15.113575,2.801352,11.482499,10.440321,1.1430222
1.7578226,6.0414877,3.7034059,2.8102334,13.100645,2.3213677,10.028096,9.998348,2.1921005
7.3983145,4.8087525,10.749071,3.1809168,16.685535,3.0804641,8.260359,1.1623106,0.88981986
1.9590716,7.1609483,20.305397,3.1355605,15.0271845,2.8819144,16.065363,17.161747,2.1227398
2.0060124,4.9671435,10.895,2.3115654,14.667452,2.636951,12.000885,10.09169,1.1128373
1.9966849,4.002802,18.018211,2.1106548,13.780413,3.8961434,17.478037,16.77568,1.1029904
2.2612696,4.174743,22.673594,2.1032553,15.619048,3.0619125,16.852722,18.967667,1.9592924
1.9934944,7.007913,9.7857065,2.4883358,14.646057,3.1142907,11.429697,9.959298,1.1366398
0.31707263,5.8398504,22.423454,2.6685228,6.572756,7.234934,17.127357,53.9842,14.506464
5.2596035,7.5118375,20.084713,2.810636,15.989466,4.251149,13.776297,14.586651,3.0198164
1.8515195,6.850519,23.590847,2.9299657,13.298113,2.7884417,17.342022,22.991787,1.7513427
0.34645355,3.0412366,6.402416,2.9772332,12.569297,4.366669,13.26248,9.917541,0.5640216
6.0395565,6.7665734,7.2417336,2.4240863,10.439738,2.5592036,5.7550592,19.655388,11.597059
5.878447,5.899959,6.2226315,3.924937,2.5994983,1.0070899,4.367249,46.568462,25.803452
